TYPE;STATUT;ADRESSE;ARRONDISSEMENT;HORAIRE;ACCES_PMR;RELAIS_BEBE;URL_FICHE_EQUIPEMENT;geo_shape;geo_point_2d
SANISETTE;;face au 81 QUAI DE VALMY;75010;24 h / 24;Oui;;;"{""coordinates"": [[2.3640739177876418, 48.87258118624698]], ""type"": ""MultiPoint""}";48.87258118624698,2.3640739177876418
SANISETTE;;82  AVENUE DE LA REPUBLIQUE;75011;6 h - 1 h;Oui;;;"{""coordinates"": [[2.3795231213828707, 48.86424208661518]], ""type"": ""MultiPoint""}";48.86424208661518,2.3795231213828707
SANISETTE;;123  BOULEVARD RICHARD LENOIR;75011;24 h / 24;Oui;;;"{""coordinates"": [[2.369377340131359, 48.865841562591655]], ""type"": ""MultiPoint""}";48.865841562591655,2.369377340131359
SANISETTE;;1129  BOULEVARD JULES FERRY;75011;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3685754962018137, 48.86729232571321]], ""type"": ""MultiPoint""}";48.86729232571321,2.3685754962018137
SANISETTE;;6  AVENUE COURTELINE;75012;6 h - 22 h;Oui;;;"{""coordinates"": [[2.4112654731297694, 48.844093326334296]], ""type"": ""MultiPoint""}";48.844093326334296,2.4112654731297694
SANISETTE;;126  BOULEVARD DE L HOPITAL;75013;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3578058508851236, 48.834805438287674]], ""type"": ""MultiPoint""}";48.834805438287674,2.3578058508851236
SANISETTE;;5  BOULEVARD KELLERMANN;75013;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3575912185485213, 48.81897694760634]], ""type"": ""MultiPoint""}";48.81897694760634,2.3575912185485213
SANISETTE;;90  RUE DE TOLBIAC;75013;6 h - 1 h;Oui;;;"{""coordinates"": [[2.3645813652403858, 48.82683406786535]], ""type"": ""MultiPoint""}";48.82683406786535,2.3645813652403858
SANISETTE;;100  BOULEVARD AUGUSTE BLANQUI;75013;24 h / 24;Oui;;;"{""coordinates"": [[2.344431701329784, 48.83113397852206]], ""type"": ""MultiPoint""}";48.83113397852206,2.344431701329784
SANISETTE;;opposé au 41 RUE ESQUIROL;75013;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3600487107112333, 48.835822547644895]], ""type"": ""MultiPoint""}";48.835822547644895,2.3600487107112333
SANISETTE;;103  BOULEVARD BRUNE;75014;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3150536241547286, 48.825685892245296]], ""type"": ""MultiPoint""}";48.825685892245296,2.3150536241547286
SANISETTE;;AVENUE DU MAINE;75014;6 h - 22 h;Oui;;;"{""coordinates"": [[2.325309655442211, 48.83226021863131]], ""type"": ""MultiPoint""}";48.83226021863131,2.325309655442211
SANISETTE;;51  QUAI DE VALMY;75010;24 h / 24;Oui;;;"{""coordinates"": [[2.3658633877207897, 48.87027367959495]], ""type"": ""MultiPoint""}";48.87027367959495,2.3658633877207897
