TARIF,ACCES_PMR,GESTIONNAIRE,LOC,TYPE,LAT,LONG
gratuit,Non,Paris,SQUARE DES CHAMAILLARDS 75013.0,TOILETTES,48.82536366522392,2.3694295007426427
gratuit,Oui,Paris,SQUARE SAINT-ELOI 75012.0,TOILETTES,48.84457582856606,2.387662295775836
gratuit,Oui,Paris,PARC MONTSOURIS 75014.0,TOILETTES,48.82416257802962,2.339848934049351
gratuit,Non,Paris,PARC DES BUTTES CHAUMONT 75019.0,TOILETTES,48.88014301552132,2.3803345581319464
gratuit,Oui,Paris,PARC CLICHY-BATIGNOLLES - MARTIN LUTHER KING 75017.0,TOILETTES,48.889170022687885,2.3153725544851533
gratuit,Oui,Paris,PARC DE PASSY 75016.0,TOILETTES,48.8553646405576,2.2829801125761007
gratuit,Non,Paris,JARDIN EMILE GALLE 75011.0,TOILETTES,48.85378509897565,2.3904653022388125
gratuit,Non,Paris,SQUARE FROT-PHALSBOURG 75011.0,TOILETTES,48.85582536021133,2.3853941164721735
gratuit,Oui,Paris,JARDIN DE REUILLY - PAUL PERNIN 75012.0,TOILETTES,48.84285653768209,2.388283524133827
gratuit,Non,Paris,JARDIN CASQUE D'OR 75020.0,TOILETTES,48.85392001443604,2.4012137756162164
gratuit,Oui,Paris,1  PLACE VIOLET 75015.0,SANISETTE,48.84479730746867,2.290479546332364
gratuit,Oui,Paris,face au 12 PLACE DES ETATS UNIS 75016.0,SANISETTE,48.86830253319043,2.293740160699616
gratuit,Oui,Paris,face au 2 AVENUE DE WAGRAM 75017.0,SANISETTE,48.87494771234444,2.295697431651681
gratuit,Oui,Paris,72  AVENUE DE VILLIERS 75017.0,SANISETTE,48.884027564002565,2.3042061799186198
gratuit,Oui,Paris,2  RUE MONTCALM 75018.0,SANISETTE,48.89178882470802,2.335221479388063
gratuit,Oui,Paris,RUE GERARD DE NERVAL 75018.0,SANISETTE,48.90059318004156,2.33510623705152
gratuit,Oui,Paris,60  BOULEVARD DE LA CHAPELLE 75018.0,SANISETTE,48.884205159907864,2.355151477096698
gratuit,Oui,Paris,face au 5 AVENUE DE LAUMIERE 75019.0,SANISETTE,48.88302878255986,2.381421987092033
gratuit,Oui,Paris,14  RUE MEYNADIER 75019.0,SANISETTE,48.883501985506584,2.3834505083083677
gratuit,Oui,Paris,213  AVENUE JEAN JAURES 75019.0,SANISETTE,48.888951442257486,2.393095759882974
gratuit,Oui,Paris,6  AVENUE DE LA PORTE DE MONTREUIL 75020.0,SANISETTE,48.85380970359548,2.4115163834644875
gratuit,Oui,Paris,117  RUE MONTMARTRE nan,SANISETTE,48.86874906648296,2.343235945649156
gratuit,Oui,Paris,RUE CUVIER nan,SANISETTE,48.84439660262885,2.3603946971559515
gratuit,Oui,Paris,COURS LA REINE nan,SANISETTE,48.86514883797138,2.318088034663091
gratuit,Oui,Paris,opposé au 44 AVENUE GABRIEL nan,SANISETTE,48.869470956238764,2.31276020722228
gratuit,Oui,Paris,SQUARE ALBAN SATRAGNE 75010.0,SANISETTE,48.87578071143161,2.3558626724604177
gratuit,Oui,Paris,3  RUE DE MONTREUIL 75011.0,SANISETTE,48.850431570799614,2.3840379632151385
gratuit,Oui,Paris,face au 170 AVENUE LEDRU ROLLIN 75011.0,SANISETTE,48.85704278201932,2.3793514782140166
gratuit,Oui,Paris,151  BOULEVARD VINCENT AURIOL 75013.0,SANISETTE,48.832713522967,2.3615805510960683
gratuit,Oui,Paris,70  BOULEVARD JOURDAN 75014.0,SANISETTE,48.82262985130539,2.328856513435701
